;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
5767;CN;延边朝鲜族自治州;延边医院;42.9108,129.5055;CO;ChinaAQIData;µg/m³;700.0;2021-08-06T13:00:00+02:00;China
5768;CN;铜川市;新区管委会;34.9058,108.9344;SO2;ChinaAQIData;µg/m³;4.0;2021-08-06T13:00:00+02:00;China
5769;CN;潮州市;西园路(对照点);23.6719,116.6367;SO2;ChinaAQIData;µg/m³;5.0;2021-08-06T13:00:00+02:00;China
5770;CN;巴彦淖尔市;附二中;40.761,107.4212;PM2.5;ChinaAQIData;µg/m³;55.0;2021-08-06T13:00:00+02:00;China
5771;AU;South East Queensland;Mutdapilly;-27.7528,152.651;O3;Australia - Queensland;ppm;0.019;2021-08-06T13:00:00+02:00;Australia
5772;AU;Rosedale;Rosedale;-38.15588,146.7842;PM2.5;Australia - Victoria;µg/m³;4.27;2021-08-06T13:00:00+02:00;Australia
5773;AU;Geelong;Geelong South;-38.17356,144.3703;CO;Australia - Victoria;ppm;0.15;2021-08-06T13:00:00+02:00;Australia
5774;BE;Oost-Vlaanderen;BETR830;51.3182286307,4.26263372958;NO2;EEA Belgium;µg/m³;21.5;2021-08-06T03:00:00+02:00;Belgium
5775;BE;Limburg;BETN046;50.8822988262,5.61887398524;O3;EEA Belgium;µg/m³;56.0;2021-08-06T03:00:00+02:00;Belgium
5776;BE;Namur;BETN073;50.5027163414,4.98842295409;NO2;EEA Belgium;µg/m³;6.0;2021-08-06T03:00:00+02:00;Belgium
5777;BE;Brabant wallon;BETN063;50.655439,4.668288;CO;EEA Belgium;µg/m³;140.0;2021-08-06T03:00:00+02:00;Belgium
5778;BE;Oost-Vlaanderen;BETN051;50.7989156041,3.9302932376;O3;EEA Belgium;µg/m³;52.5;2021-08-06T03:00:00+02:00;Belgium
5779;BG;Смолян;BG0053R;41.694342,24.738078;NO2;EEA Bulgaria;µg/m³;2.34;2021-08-06T12:00:00+02:00;Bulgaria
5780;BR;Santa Gertrudes;Santa Gertrudes;-22.45995527,-47.53629834;PM2.5;Sao Paulo CETESB;µg/m³;40.0;2021-08-06T14:00:00+02:00;Brazil
5781;BR;Campinas;Campinas-V.União;-22.94672842,-47.11928086;PM2.5;Sao Paulo CETESB;µg/m³;18.0;2021-08-06T14:00:00+02:00;Brazil
5782;BR;Jundiaí;Jundiaí;-23.19200374,-46.89709727;PM2.5;Sao Paulo CETESB;µg/m³;14.0;2021-08-06T14:00:00+02:00;Brazil
5783;BR;Guarulhos;Guarulhos-Paço Municipal;-23.45553426,-46.5185334;O3;Sao Paulo CETESB;µg/m³;31.0;2021-08-06T14:00:00+02:00;Brazil
