;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
8105;CN;德宏州;芒市人民政府综合楼;24.4368,98.5881;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
8109;CN;崇左市;城南新区;22.3707,107.3702;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
8141;JO;Amman;US Diplomatic Post: Amman;31.945388,35.880556;PM2.5;StateAir_Amman;µg/m³;-999.0;2021-08-06T09:00:00+02:00;Jordan
8197;CL;Rancagua;Rancagua I;-34.1623146091,-70.7139192255;CO;Chile - SINCA;µg/m³;1300.97;2021-08-06T13:00:00+02:00;Chile
8256;CN;南宁市;英华嘉园;22.735,108.3275;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
8257;CN;茂名市;茂石化七小;21.6533,110.9294;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
8265;AU;Mount Isa;The Gap;-20.7264,139.498;PM2.5;Australia - Queensland;µg/m³;-1111.0;2021-08-06T13:00:00+02:00;Australia
8284;CL;Coronel;Lota urbana;-37.0776198097,-73.1541364986;CO;Chile - SINCA;µg/m³;1350.86;2021-08-06T13:00:00+02:00;Chile
8288;CW;Curacao;US Diplomatic Post: Curacao;12.1696,-68.99;PM2.5;StateAir_Curacao;µg/m³;-999.0;2021-08-06T14:00:00+02:00;
8324;IT;Catanzaro;IT2087A;38.95955,16.29517;CO;EEA Italy;µg/m³;1945.5305;2021-08-06T12:00:00+02:00;Italy
8377;CN;本溪市;彩屯;41.3094,123.7169;CO;ChinaAQIData;µg/m³;2300.0;2021-08-06T13:00:00+02:00;China
8421;CN;天津市;第四大街;39.0343,117.707;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
8431;CN;萍乡市;中医院;27.6434,113.8385;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
8436;CN;周口市;周口师范;33.6347,114.6758;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
8513;NL;Ridderkerk;Ridderkerk-Hogeweg;51.8694,4.58006;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
