;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
1944;CN;广州市;体育西;23.1322,113.3221;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
2081;CL;Cerro Navia;Cerro Navia;-33.4330896101,-70.7321478687;CO;Chile - SINCA;µg/m³;2770.42;2021-08-06T14:00:00+02:00;Chile
2201;NL;Ridderkerk;Ridderkerk-Hogeweg;51.8694,4.58006;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
2217;GN;Conakry;US Diplomatic Post: Conakry;9.594805,-13.636629;PM2.5;StateAir_Conakry;µg/m³;-999.0;2021-08-06T12:00:00+02:00;Guinea
2239;CN;赣州市;市图书馆;25.8333,114.9322;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
2330;CN;哈尔滨市;松北商大;45.8167,126.561;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
2341;CN;吉林市;江北;43.8972,126.6133;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
2378;CN;呼伦贝尔市;区环保局;49.2261,119.7594;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
2404;CN;平顶山市;石龙区;33.9116,112.8867;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2424;CL;El Bosque;El Bosque;-33.5470996456,-70.6662041019;CO;Chile - SINCA;µg/m³;2072.09;2021-08-06T14:00:00+02:00;Chile
2472;CN;寿光市;世纪学校;36.864,118.78;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2475;CN;孝感市;东城区;30.9075,113.942;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2484;CN;江门市;北街;22.6058,113.1064;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2491;CN;黄石市;团城山;30.2092,115.0307;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2608;CN;荆州市;管委会;30.3122,112.2747;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
2620;CN;巴彦淖尔市;附二中;40.761,107.4212;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2623;IT;Vibo Valentia;IT2093A;38.66458,16.08024;CO;EEA Italy;µg/m³;901.7976;2021-08-06T11:00:00+02:00;Italy
2625;IT;La Spezia;IT1456A;44.112778,9.832778;CO;EEA Italy;µg/m³;860.0;2021-08-06T02:00:00+02:00;Italy
2738;CN;云浮市;文笔;22.9374,112.0336;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2768;NL;Maassluis;Maassluis-Kwartellaan;51.932,4.22802;PM2.5;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
2825;NL;Maassluis;Maassluis-Kwartellaan;51.932,4.22802;SO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
2826;NL;Schiedam;Schiedam-Alphons Arienstraat;51.9214,4.40139;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
2829;RS;Šumadijski upravni okrug;RS0043A;44.011573,20.925031;CO;EEA Servia;µg/m³;898.0;2021-08-06T14:00:00+02:00;Serbia
2839;CN;湘西州;州政府;28.3169,109.7325;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
2845;CN;钦州市;市环保站;21.9667,108.6236;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2874;CN;怀化市;林科所(对照点);27.5721,109.5981;CO;ChinaAQIData;µg/m³;1500.0;2021-08-06T13:00:00+02:00;China
2910;SK;Banskobystrický kraj;SK0214A;48.7350006095,19.15499878;CO;EEA Slovakia;µg/m³;845.756;2021-08-06T13:00:00+02:00;Slovakia
2953;CN;鸡西市;环保局;45.3001,130.9762;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
2983;CN;通化市;光明;41.7173,125.9358;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3136;AT;Oberösterreich;AT4S173;48.2788888884,14.3658333333;CO;EEA Austria;µg/m³;840.30997;2021-08-06T13:00:00+02:00;Austria
3156;CN;济宁市;电化厂;35.4042,116.5491;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
3157;CN;秦皇岛市;监测站;39.9499,119.5897;CO;ChinaAQIData;µg/m³;1600.0;2021-08-06T13:00:00+02:00;China
3181;CN;珠海市;前山;22.2335,113.4881;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
3326;CN;清远市;清新太和;23.7403,112.9903;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3418;NL;Rotterdam Zuid;Rotterdam Zuid-Pleinweg;51.8911,4.48069;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
3423;ES;Málaga;ES2030A;36.5109999995,-4.863;CO;EEA Spain;µg/m³;1273.0;2021-08-06T08:00:00+02:00;Spain
3457;CL;Las Condes;Las Condes;-33.3767735203,-70.5233267841;CO;Chile - SINCA;µg/m³;1157.85;2021-08-06T14:00:00+02:00;Chile
3510;CN;滨州市;第二水厂;37.3617,118.0018;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3515;CN;常州市;武进监测站;31.7069,119.9468;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3535;CN;营口市;镜湖西路;40.6511,122.215;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
3542;CN;齐齐哈尔市;中心广场;47.3386,123.9488;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
3695;GB;London;London Marylebone Road;51.52253,-0.154611;CO;DEFRA;µg/m³;800.0;2021-08-06T10:00:00+02:00;United Kingdom
3730;CN;昌都市;昌都监测站;31.1273,97.1806;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3755;CN;河源市;东埔;23.7586,114.6944;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
3762;CN;聊城市;区政府;36.4372,115.9848;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
3874;CN;上饶市;百草园(对照点);28.4572,118.005;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
3875;CN;绵阳市;市人大;31.4535,104.7563;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
3877;CN;漳州市;漳州党校;24.5183,114.6622;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
3887;CN;鞍山市;太平;41.1442,123.0485;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
3897;CN;衡水市;市监测站;37.7316,115.6303;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
3926;MK;Aerodrom Municipality;MK0031A;41.9783299995,21.47;CO;EEA Macedonia;µg/m³;10045.6232;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
3980;CN;白城市;洮北区环保局;45.6077,122.7911;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
3984;CN;晋城市;白云商贸;35.4936,112.8318;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
3995;CN;三明市;三元区政府;26.2378,117.6028;CO;ChinaAQIData;µg/m³;1500.0;2021-08-06T13:00:00+02:00;China
4147;CN;鹤壁市;南山宾馆;35.9603,114.1572;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
4157;CN;泰安市;国网新校;36.2275,117.1812;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
4171;NL;Hoek v. Holland;Hoek v. Holland-Berghaven;51.9778,4.12194;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
4203;CN;株洲市;天台山庄;27.8244,113.135;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
4210;CN;衡阳市;市委党校;26.8733,112.6197;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
4241;CL;Pudahuel;Pudahuel;-33.4378113791,-70.7501712331;CO;Chile - SINCA;µg/m³;2358.29;2021-08-06T14:00:00+02:00;Chile
4313;CN;长春市;食品厂;43.9166,125.3325;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
4320;CN;十堰市;刘家沟;32.6389,110.7258;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
4321;CN;鄂尔多斯市;华泰汽车城;39.5989,109.8119;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
4329;CN;攀枝花市;四十中小;26.567,101.7227;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
4467;NL;Hoogvliet;Hoogvliet-Leemkuil;51.8674,4.35524;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
4468;NL;Schiedam;Schiedam-Alphons Arienstraat;51.9214,4.40139;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
4524;BG;Стара Загора;BG0055A;42.432356,25.637389;CO;EEA Bulgaria;µg/m³;1420.0;2021-08-06T12:00:00+02:00;Bulgaria
4618;AU;Mount Isa;The Gap;-20.7264,139.498;PM10;Australia - Queensland;µg/m³;-1111.0;2021-08-06T13:00:00+02:00;Australia
4796;CN;洛阳市;河科大西苑校区;34.662,112.3677;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
4816;CN;泉州市;津头埔;24.8978,118.5972;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
4871;NL;Hoogvliet;Hoogvliet-Leemkuil;51.8674,4.35524;SO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
